Date,Open,High,Low,Close,Volume,Change
2020-01-02,30900,31000,30500,30500,221803,-0.017713365539452464
2020-01-03,30600,30850,30350,30500,195878,0.0
2020-01-06,30300,30450,29250,29350,426737,-0.03770491803278686
2020-01-07,29450,29600,29000,29250,419123,-0.0034071550255536653
2020-01-08,28950,29000,27550,27650,913844,-0.05470085470085473
2020-01-09,28200,28400,27850,28100,588475,0.016274864376130127
2020-01-10,28200,28850,28050,28700,339244,0.021352313167259718
2020-01-13,28700,29500,28500,29200,361850,0.017421602787456525
2020-01-14,29350,29750,29200,29250,268435,0.001712328767123239
2020-01-15,29250,30350,29250,30050,527863,0.027350427350427253
2020-01-16,30000,30250,29800,29950,233550,-0.0033277870216306127
2020-01-17,30000,30500,30000,30100,295592,0.005008347245408995
2020-01-20,30100,30950,30000,30650,423298,0.0182724252491695
2020-01-21,30650,31000,30200,30600,280954,-0.0016313213703099683
2020-01-22,30750,30850,30350,30450,226306,-0.004901960784313708
2020-01-23,30200,30600,30000,30300,267112,-0.0049261083743842304
2020-01-28,29650,30150,28800,29050,371547,-0.041254125412541254
2020-01-29,29200,29650,28800,29250,306349,0.0068846815834766595
2020-01-30,29150,29550,28700,28850,304409,-0.013675213675213627
2020-01-31,29000,29300,28000,28000,477827,-0.029462738301559765
2020-02-03,27800,28300,27500,27900,437023,-0.0035714285714285587
2020-02-04,27800,29000,27800,28550,361755,0.023297491039426577
2020-02-05,29000,29200,28550,28850,359297,0.01050788091068311
2020-02-06,29300,30500,29250,30300,530131,0.05025996533795496
2020-02-07,30250,30500,29800,30050,207305,-0.008250825082508295
2020-02-10,29600,30300,29550,30150,209774,0.0033277870216306127
2020-02-11,30250,30700,30050,30400,229623,0.008291873963515828
2020-02-12,30100,30700,30050,30700,282729,0.009868421052631637
2020-02-13,30650,30750,29850,29850,428719,-0.027687296416938123
2020-02-14,29850,29900,29050,29300,410401,-0.018425460636515956
2020-02-17,29350,29350,28550,29050,294576,-0.008532423208191142
2020-02-18,28950,29200,28750,28850,237234,-0.0068846815834767705
2020-02-19,29050,29100,28450,28500,293483,-0.012131715771230511
2020-02-20,28550,29050,28150,28200,413317,-0.010526315789473717
2020-02-21,28100,28350,27550,27950,480744,-0.00886524822695034
2020-02-24,27600,27750,26700,26700,706434,-0.04472271914132375
2020-02-25,26650,27500,26650,27350,426134,0.02434456928838946
2020-02-26,27000,27750,26700,27200,489129,-0.005484460694698323
2020-02-27,27150,27450,26750,26900,356716,-0.011029411764705843
2020-02-28,26450,26650,25950,26250,766579,-0.024163568773234223
2020-03-02,26100,26650,25650,26000,500613,-0.00952380952380949
2020-03-03,26550,27100,26400,26500,417696,0.019230769230769162
2020-03-04,26350,27100,26350,26850,321104,0.013207547169811429
2020-03-05,27100,28350,26800,27850,511357,0.03724394785847296
2020-03-06,27450,27550,26650,26900,379393,-0.03411131059245964
2020-03-09,26300,26300,24700,24850,914767,-0.07620817843866168
2020-03-10,24500,25000,24250,24700,559665,-0.006036217303822977
2020-03-11,24750,24850,23700,24100,461702,-0.02429149797570851
2020-03-12,23700,23750,21800,22150,1149867,-0.08091286307053946
2020-03-13,20000,21500,19200,20750,1525797,-0.06320541760722342
2020-03-16,20900,21450,20050,20350,689020,-0.01927710843373498
2020-03-17,18550,20350,18550,19700,785447,-0.03194103194103193
2020-03-18,19850,20100,17650,17650,755478,-0.10406091370558379
2020-03-19,17850,18100,14650,15050,1851550,-0.14730878186968843
2020-03-20,15400,17700,15150,17700,1108678,0.17607973421926904
2020-03-23,15900,16950,15800,15900,733315,-0.10169491525423724
2020-03-24,16500,17850,16000,17350,781275,0.09119496855345921
2020-03-25,18200,19200,17800,18700,890296,0.0778097982708934
2020-03-26,18900,19400,18150,18300,807210,-0.021390374331550777
2020-03-27,19200,19400,17800,18450,886352,0.008196721311475308
2020-03-30,17650,19050,17550,18950,551668,0.027100271002709952
2020-03-31,19300,21500,19300,20500,1394932,0.08179419525065956
2020-04-01,19950,20400,19150,19150,736565,-0.06585365853658531
2020-04-02,19150,20300,18700,20050,833845,0.04699738903394257
2020-04-03,20200,20450,19200,19600,807176,-0.02244389027431426
2020-04-06,20000,20450,19800,20400,645128,0.04081632653061229
2020-04-07,21100,21150,20250,20650,776608,0.01225490196078427
2020-04-08,20400,22200,20250,21850,1069596,0.05811138014527839
2020-04-09,22250,22300,21750,22100,712275,0.011441647597254079
2020-04-10,22100,22950,21900,22850,689544,0.03393665158371051
2020-04-13,22850,23850,22500,22650,750498,-0.008752735229759279
2020-04-14,23100,24300,22800,23650,843169,0.04415011037527594
2020-04-16,23350,23900,22800,23500,600166,-0.006342494714587699
2020-04-17,23950,24400,23700,23700,626140,0.008510638297872353
2020-04-20,23750,24700,23400,23950,777856,0.010548523206751037
2020-04-21,24400,24650,23250,24200,903203,0.010438413361169019
2020-04-22,23500,25100,23250,25100,795451,0.037190082644628086
2020-04-23,25150,25150,24400,24850,446193,-0.009960159362549792
2020-04-24,24650,24700,23600,24100,575395,-0.030181086519114664
2020-04-27,24200,24700,24000,24500,471505,0.016597510373443924
2020-04-28,25000,25300,24350,25300,511985,0.03265306122448974
2020-04-29,25450,25700,25000,25300,527881,0.0
2020-05-04,24800,24900,24350,24350,521965,-0.03754940711462451
2020-05-06,24700,24800,24150,24800,404917,0.01848049281314168
2020-05-07,24800,25200,24700,24850,427112,0.002016129032258007
2020-05-08,25250,25500,24900,25050,439412,0.008048289738430636
2020-05-11,24950,25100,24500,24550,309407,-0.019960079840319334
2020-05-12,24300,24600,23700,23850,505282,-0.02851323828920571
2020-05-13,23400,24350,23350,24350,302687,0.020964360587002018
2020-05-14,23950,24200,23350,23700,443952,-0.026694045174537995
2020-05-15,23850,24050,23500,23800,275697,0.00421940928270037
2020-05-18,24000,24050,23350,23850,243682,0.0021008403361344463
2020-05-19,24200,25400,24200,24950,713762,0.04612159329140453
2020-05-20,24950,25250,24600,25100,347034,0.006012024048096087
2020-05-21,25100,25250,24600,24800,316468,-0.01195219123505975
2020-05-22,24900,24900,23950,24100,335093,-0.028225806451612878
2020-05-25,24350,24400,23900,24050,235446,-0.0020746887966804906
